,Scope,Level,Level.1,Level.2,Level.3,Column Text,Unit,GHG,GHG Emission factor
49,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Natural Gas,kWh,CO2,0.194244289
50,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Natural Gas,kWh,CH4,0.000405
51,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Natural Gas,kWh,N2O,9.6552e-05
52,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Natural Gas,GJ,CO2e,54.09606685
53,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Natural Gas,GJ,CO2,53.95674685
54,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Natural Gas,GJ,CH4,0.1125
55,1,Fuel,Stationary combustion fuel emission factors ,Commercial use ,,Natural Gas,GJ,N2O,0.02682
56,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Default ,kg,CO2e,40.7423580024881
57,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Default ,kg,CO2,40.4505512727047
58,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Default ,kg,CH4,0.104665254585144
59,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Default ,kg,N2O,0.187141475198238
60,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Bituminous,kg,CO2e,2.656953424
61,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Bituminous,kg,CO2,2.637360379
62,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Bituminous,kg,CH4,0.007027635
63,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Bituminous,kg,N2O,0.012565411
64,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Sub-Bituminous,kg,CO2e,2.005340893
65,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Sub-Bituminous,kg,CO2,1.991009477
66,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Sub-Bituminous,kg,CH4,0.005140393
67,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Sub-Bituminous,kg,N2O,0.009191023
68,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Lignite,kg,CO2e,1.430549361
69,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Lignite,kg,CO2,1.420447873
70,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Lignite,kg,CH4,0.003623202
71,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Coal - Lignite,kg,N2O,0.006478286
72,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Diesel ,litre,CO2e,2.657369187
73,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Diesel ,litre,CO2,2.648156419
74,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Diesel ,litre,CH4,0.002722449
75,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Diesel ,litre,N2O,0.006490318
76,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,LPG,kg,CO2e,3.023936333
77,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,LPG,kg,CO2,3.021333333
78,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,LPG,kg,CH4,0.0011875
79,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,LPG,kg,N2O,0.0014155
80,1,Fuel,Stationary combustion fuel emission factors ,Industrial Use,,Heavy Fuel Oil ,litre,CO2e,3.019340601
